t,x,y,z,sum,frame
227,1.96,,,,1
229,0.98,2,17.14777879,58.31659089,3
232,0,3,10.50686915,,4
235,-0.98,3,,,5
237,0,2,,,6
239,-0.98,2,,,7
241,0.98,2,,,8
250,0.98,9,,,9
264,-0.98,14,,,10
277,0,13,,,11
294,-0.98,17,,,12
306,0.98,12,,,14
323,1.96,17,,,15
331,0.98,8,,,17
346,0,15,,,19
362,0,16,,,20
373,0.98,11,,,22
386,0.98,13,,,24
400,-0.98,14,,,26
418,0,18,,,27
428,0.98,10,,,28
442,0.98,14,,,29
454,1.96,12,,,30
467,0,13,,,31
484,0,17,,,32
496,0,12,,,33
512,0,16,,,35
526,-0.98,14,,,37
550,0,24,,,38
558,0.98,8,,,39
569,-0.98,11,,,40
579,0,10,,,41
595,0,16,,,42
609,0,14,,,44
619,0,10,,,45
632,0,13,,,47
649,1.96,17,,,48
660,0,11,,,49
672,0,12,,,50
687,0.98,15,,,51
700,0,13,,,53
723,-0.98,23,,,54
729,0.98,6,,,55
743,0.98,14,,,56
755,0,12,,,57
776,-0.98,21,,,58
783,0,7,,,60
798,0.98,15,,,62
812,0,14,,,63
825,0,13,,,65
838,-0.98,13,,,66
857,1.96,19,,,67
869,-0.98,12,,,68
879,-0.98,10,,,69
899,0,20,,,71
1013,0,114,,,72
1016,-0.98,3,,,74
1021,0.98,5,,,76
1024,-1.96,3,,,78
1026,2.94,2,,,80
1031,0,5,,,81
1038,1.96,7,,,82
1051,1.96,13,,,83
1067,0,16,,,85
1080,0,13,,,87
1097,0.98,17,,,88
1111,0.98,14,,,89
1125,1.96,14,,,91
1138,0,13,,,92
1154,0,16,,,93
1173,0.98,19,,,95
1183,0,10,,,96
1198,0.98,15,,,98
1214,0.98,16,,,100
1231,0,17,,,102
1243,0.98,12,,,103
1259,0.98,16,,,104
1273,0,14,,,105
1290,-0.98,17,,,106
1308,0.98,18,,,107
1321,0,13,,,108
1343,0,22,,,109
1355,-0.98,12,,,110
1375,0,20,,,112
1386,0,11,,,114
1400,-0.98,14,,,116
1420,0.98,20,,,117
1438,0.98,18,,,118
1455,0,17,,,119
1468,0.98,13,,,120
1482,0,14,,,121
1495,0,13,,,123
