Starting!
t,x,y,z,sum,frame
103,1.96,1.96,0.00,0.00,2
105,0.98,0.00,0.00,0.98,4
110,1.96,-0.98,0.00,2.94,6
141,2.94,0.00,0.00,2.94,8
165,3.92,-0.98,0.00,4.90,9
191,0.98,1.96,1.96,0.98,10
222,1.96,0.00,0.98,2.94,11
246,3.92,0.98,0.00,2.94,12
281,3.92,-0.98,0.00,4.90,13
303,3.92,-0.98,0.00,4.90,14
335,2.94,0.00,0.98,3.92,15
372,0.98,0.00,0.00,0.98,16
390,1.96,0.00,0.98,2.94,17
425,2.94,-1.96,-1.96,2.94,19
453,0.98,0.98,0.98,0.98,20
476,2.94,0.00,0.00,2.94,21
503,1.96,1.96,1.96,1.96,23
532,0.98,0.00,-0.98,0.00,24
563,1.96,-1.96,0.98,4.90,25
590,1.96,2.94,0.00,-0.98,27
623,1.96,0.98,-1.96,-0.98,28
653,0.98,0.00,0.00,0.98,29
677,0.98,-1.96,-0.98,1.96,30
707,0.98,0.00,-0.98,0.00,31
736,1.96,2.94,0.98,0.00,33
764,2.94,-0.98,0.98,4.90,34
794,1.96,0.98,0.00,0.98,35
822,2.94,0.98,0.00,1.96,37
850,1.96,0.98,0.98,1.96,38
878,1.96,0.98,0.00,0.98,40
906,3.92,0.00,0.98,4.90,41
934,2.94,-0.98,0.98,4.90,43
964,1.96,0.98,0.00,0.98,45
992,0.98,2.94,-0.98,-2.94,46
1020,1.96,0.00,0.00,1.96,47
1051,1.96,0.00,0.98,2.94,48
1084,1.96,0.98,0.98,1.96,49
1111,2.94,0.98,0.98,2.94,50
1137,2.94,0.00,-0.98,1.96,51
1168,2.94,0.98,0.00,1.96,52
1200,2.94,1.96,1.96,2.94,53
1227,0.98,0.98,0.00,0.00,54
1263,1.96,0.00,0.00,1.96,55
1286,2.94,0.98,0.00,1.96,57
1323,3.92,-0.98,0.00,4.90,59
1343,2.94,0.98,0.00,1.96,60
1382,1.96,0.00,0.98,2.94,61
1402,0.98,0.98,-0.98,-0.98,63
1433,2.94,-0.98,0.98,4.90,64
1466,0.98,0.00,0.00,0.98,65
1494,1.96,-0.98,0.00,2.94,66
1524,1.96,0.98,0.98,1.96,67
1557,1.96,0.98,-0.98,0.00,68
1583,0.98,0.00,0.98,1.96,69
1624,0.00,1.96,0.00,-1.96,71
1642,2.94,0.98,0.00,1.96,72
1684,0.98,0.00,0.00,0.98,73
1699,1.96,0.98,0.98,1.96,74
1735,2.94,0.00,-0.98,1.96,75
1760,2.94,-0.98,0.00,3.92,76
1788,1.96,0.98,0.00,0.98,77
1818,2.94,0.00,0.00,2.94,78
1848,2.94,0.00,0.00,2.94,79
1879,1.96,0.00,0.00,1.96,80
1905,2.94,0.00,0.00,2.94,81
1936,2.94,0.00,0.00,2.94,82
1968,0.98,0.98,0.00,0.00,83
1993,1.96,-0.98,1.96,4.90,85
2029,0.98,-0.98,0.00,1.96,87
2063,2.94,0.98,-0.98,0.98,89
2082,1.96,2.94,0.00,-0.98,91
2118,0.98,0.00,0.00,0.98,93
2144,2.94,-0.98,0.00,3.92,95
2177,2.94,0.00,0.00,2.94,96
2207,2.94,0.00,0.00,2.94,98
2230,2.94,0.00,0.00,2.94,100
2260,2.94,0.00,0.98,3.92,101
2299,0.00,0.98,-0.98,-1.96,102
2324,1.96,0.98,0.00,0.98,103
2358,2.94,0.98,1.96,3.92,105
2384,2.94,0.98,0.00,1.96,106
2415,1.96,0.98,-2.94,-1.96,107
2448,1.96,0.00,1.96,3.92,109
2476,3.92,0.98,0.00,2.94,111
2520,1.96,2.94,0.00,-0.98,113
2540,0.98,0.98,0.00,0.00,114
2570,1.96,0.00,0.98,2.94,116
2597,0.98,0.00,0.00,0.98,117
2640,1.96,0.98,0.00,0.98,119
2659,0.98,0.00,0.00,0.98,121
2699,2.94,0.00,1.96,4.90,122
2719,1.96,0.00,0.00,1.96,124
2749,2.94,0.98,0.00,1.96,126
2780,1.96,0.98,-0.98,0.00,128
2810,2.94,0.98,0.98,2.94,129
2841,0.00,-0.98,0.00,0.98,130
2878,1.96,0.00,-0.98,0.98,131
2904,1.96,0.00,0.98,2.94,132
2935,2.94,0.00,0.98,3.92,133
2963,3.92,0.98,0.00,2.94,135
2996,2.94,0.00,0.00,2.94,136
3023,0.98,1.96,-0.98,-1.96,137
3064,0.98,0.98,0.00,0.00,138
3086,2.94,0.98,-0.98,0.98,140
3117,2.94,0.00,-0.98,1.96,141
3151,2.94,0.00,0.00,2.94,143
3178,2.94,-0.98,0.00,3.92,144
3211,1.96,0.00,1.96,3.92,146
3240,0.98,0.00,0.00,0.98,147
3275,1.96,-0.98,0.98,3.92,148
3303,3.92,-0.98,0.98,5.88,149
3333,0.98,-0.98,0.00,1.96,151
3367,1.96,0.98,-0.98,0.00,152
3396,0.98,0.98,0.00,0.00,153
3523,0.98,0.98,0.00,0.00,154
3525,0.98,0.98,0.00,0.00,155
3537,2.94,0.00,0.00,2.94,157
3548,1.96,0.00,0.00,1.96,158
3591,3.92,-0.98,0.98,5.88,160
3615,2.94,0.00,0.00,2.94,161
3639,2.94,0.00,0.00,2.94,162
3674,1.96,0.98,0.00,0.98,164
3704,1.96,0.98,0.00,0.98,165
3730,2.94,0.98,0.00,1.96,167
3761,2.94,-0.98,0.98,4.90,169
3791,2.94,0.98,3.92,5.88,170
3833,3.92,0.00,0.00,3.92,172
3852,1.96,0.00,-2.94,-0.98,173
3887,1.96,0.98,-0.98,0.00,174
3927,0.98,1.96,0.00,-0.98,175
3962,1.96,0.98,0.98,1.96,176
3978,2.94,0.98,-0.98,0.98,178
4008,1.96,0.98,0.00,0.98,179
4039,1.96,0.98,0.98,1.96,180
4075,1.96,0.00,0.98,2.94,182
4098,1.96,0.00,0.98,2.94,184
4128,0.98,0.98,-0.98,-0.98,185
4160,1.96,-0.98,-0.98,1.96,187
4197,0.00,1.96,-0.98,-2.94,188
4226,1.96,0.00,0.00,1.96,189
4257,2.94,0.00,0.00,2.94,190
4386,0.98,0.98,0.00,0.00,191
4393,1.96,0.00,-0.98,0.98,192
4398,1.96,0.00,0.00,1.96,193
4417,0.98,0.98,-0.98,-0.98,194
4467,2.94,0.98,0.00,1.96,195
4476,1.96,0.00,0.00,1.96,196
4506,1.96,2.94,0.00,-0.98,197
4537,1.96,0.98,0.00,0.98,199
4568,1.96,0.00,0.00,1.96,200
4595,1.96,0.00,0.00,1.96,201
4626,3.92,0.98,0.00,2.94,203
4657,1.96,1.96,0.00,0.00,205
4689,0.98,0.00,0.00,0.98,206
4717,0.98,-1.96,0.98,3.92,207
4748,2.94,-1.96,-0.98,3.92,208
4784,0.98,1.96,0.98,0.00,209
4811,1.96,0.00,0.00,1.96,210
4842,2.94,0.00,0.00,2.94,211
4871,2.94,0.00,-0.98,1.96,213
4901,2.94,0.00,-0.98,1.96,215
4936,1.96,0.00,0.98,2.94,216
4963,2.94,0.00,0.00,2.94,218
4994,2.94,0.00,-0.98,1.96,220
5024,2.94,0.98,-0.98,0.98,221
5061,1.96,0.98,-0.98,0.00,223
5088,1.96,0.98,0.98,1.96,225
5121,1.96,-0.98,0.98,3.92,226
5155,1.96,0.00,0.00,1.96,228
5179,0.98,1.96,-0.98,-1.96,229
5217,0.98,2.94,0.00,-1.96,231
5244,1.96,0.00,-1.96,0.00,232
5276,2.94,0.00,0.98,3.92,233
5303,2.94,0.00,0.98,3.92,234
5335,1.96,1.96,0.00,0.00,235
5371,0.00,1.96,0.00,-1.96,236
5397,1.96,0.00,0.00,1.96,237
5430,2.94,0.00,-1.96,0.98,239
5457,0.98,1.96,0.00,-0.98,241
5487,1.96,0.00,-0.98,0.98,243
5521,0.98,0.98,0.98,0.98,244
5549,2.94,0.98,0.00,1.96,245
5579,1.96,-0.98,-0.98,1.96,246
5612,0.98,0.98,0.00,0.00,248
5643,0.98,-0.98,0.00,1.96,249
5679,1.96,2.94,0.00,-0.98,250
5709,1.96,0.00,0.98,2.94,251
5735,1.96,0.98,-0.98,0.00,253
5766,3.92,0.00,0.98,4.90,254
5796,1.96,0.98,0.00,0.98,255
5841,2.94,-0.98,0.00,3.92,256
5858,1.96,0.00,0.98,2.94,257
5889,0.98,0.98,-1.96,-1.96,259
5919,-1.96,0.98,-0.98,-3.92,261
5956,0.98,2.94,0.00,-1.96,262
5987,0.98,0.00,0.00,0.98,264
6014,1.96,1.96,-0.98,-0.98,265
6047,1.96,1.96,0.00,0.00,267
6079,0.98,0.00,0.00,0.98,268
6106,2.94,0.00,-0.98,1.96,270
6138,1.96,0.00,1.96,3.92,271
6169,1.96,0.00,0.98,2.94,273
6203,0.98,1.96,-2.94,-3.92,275
6231,1.96,0.00,0.00,1.96,276
6260,2.94,1.96,-0.98,-0.00,277
6292,1.96,0.98,0.00,0.98,279
6323,2.94,0.00,0.98,3.92,281
6353,2.94,-0.98,0.98,4.90,283
6384,2.94,-0.98,0.98,4.90,284
6415,2.94,-0.98,0.98,4.90,285
6448,1.96,0.00,0.00,1.96,287
6478,0.00,0.00,0.00,0.00,288
6508,1.96,0.98,0.00,0.98,289
6537,0.98,0.98,0.00,0.00,291
6576,0.98,0.00,0.00,0.98,293
6600,0.98,0.98,0.98,0.98,294
6628,1.96,0.00,-0.98,0.98,295
6659,1.96,-1.96,0.98,4.90,296
6692,1.96,0.00,-0.98,0.98,297
6730,2.94,0.00,-0.98,1.96,298
6752,1.96,1.96,0.00,0.00,299
6789,2.94,2.94,0.00,0.00,300
6815,2.94,-0.98,0.00,3.92,301
6942,2.94,-0.98,0.00,3.92,302
6945,2.94,-0.98,0.00,3.92,303
6948,1.96,-1.96,0.00,3.92,305
6970,1.96,0.98,0.00,0.98,307
7001,1.96,-1.96,0.00,3.92,309
7031,1.96,0.98,-0.98,0.00,310
7065,-12.74,-0.98,0.98,-10.78,311
7099,2.94,0.98,-0.98,0.98,312
7130,2.94,0.00,0.00,2.94,313
7162,2.94,-0.98,0.98,4.90,315
7193,3.92,-0.98,0.00,4.90,316
7225,2.94,1.96,0.00,0.98,317
7254,1.96,0.00,-0.98,0.98,318
7285,2.94,0.98,0.00,1.96,320
7317,0.00,0.98,0.00,-0.98,321
7345,2.94,0.98,0.98,2.94,323
7375,0.98,0.00,0.98,1.96,325
7411,0.98,0.00,-0.98,0.00,326
7439,1.96,-0.98,0.98,3.92,328
7473,0.98,0.98,0.98,0.98,329
7501,2.94,1.96,0.00,0.98,330
7529,1.96,0.00,0.00,1.96,331
7562,2.94,0.00,0.00,2.94,332
7588,1.96,0.98,-0.98,0.00,334
7620,2.94,1.96,-0.98,-0.00,335
7651,2.94,1.96,-0.98,-0.00,336
7686,3.92,2.94,0.00,0.98,337
7715,0.98,0.98,0.00,0.00,338
7745,2.94,0.00,0.98,3.92,340
7781,0.98,0.00,0.98,1.96,342
7813,1.96,0.00,-1.96,0.00,344
7840,1.96,0.00,0.00,1.96,345
7869,2.94,0.00,0.98,3.92,346
7897,1.96,1.96,0.00,0.00,347
7926,0.98,0.98,1.96,1.96,349
7957,2.94,1.96,0.00,0.98,350
7987,2.94,-0.98,0.98,4.90,351
8020,2.94,0.98,0.98,2.94,352
8053,1.96,-0.98,0.00,2.94,353
8083,2.94,0.98,0.98,2.94,354
8112,2.94,0.98,0.00,1.96,355
8140,0.00,0.00,0.00,0.00,356
8179,3.92,0.98,0.00,2.94,357
8201,2.94,0.98,0.00,1.96,358
8229,1.96,0.00,-0.98,0.98,359
8260,1.96,0.00,-0.98,0.98,360
8293,0.98,0.98,0.00,0.00,362
8324,1.96,1.96,0.00,0.00,364
