Starting!
t,x,y,z,sum,frame
103,3.92,0.00,0.00,3.92,13
105,3.92,-15.68,0.00,19.60,19
109,2.94,0.00,0.00,2.94,29
126,1.96,-15.68,0.00,17.64,30
147,2.94,0.00,-15.68,-12.74,32
169,1.96,0.00,-15.68,-13.72,39
192,2.94,0.00,0.00,2.94,49
210,2.94,0.00,0.00,2.94,56
228,0.98,0.00,0.00,0.98,60
246,2.94,0.00,0.00,2.94,62
267,1.96,0.00,0.00,1.96,69
286,0.98,0.00,0.00,0.98,82
304,0.98,0.00,-15.68,-14.70,88
325,1.96,-15.68,-15.68,1.96,90
346,2.94,0.00,0.00,2.94,93
366,0.98,0.00,0.00,0.98,100
385,1.96,0.00,0.00,1.96,102
404,1.96,0.00,0.00,1.96,104
425,2.94,0.00,0.00,2.94,117
443,0.98,0.00,0.00,0.98,119
462,2.94,0.00,-15.68,-12.74,121
487,1.96,0.00,-15.68,-13.72,134
507,1.96,0.00,0.00,1.96,140
526,2.94,0.00,0.00,2.94,141
545,1.96,0.00,0.00,1.96,145
566,0.98,0.00,0.00,0.98,151
584,0.98,0.00,0.00,0.98,152
605,0.98,0.00,0.00,0.98,159
623,0.98,0.00,0.00,0.98,164
646,3.92,0.00,0.00,3.92,185
664,0.98,-15.68,0.00,16.66,198
685,1.96,0.00,0.00,1.96,204
703,1.96,0.00,0.00,1.96,205
722,0.00,0.00,0.00,0.00,209
743,0.98,0.00,-15.68,-14.70,215
765,2.94,0.00,0.00,2.94,222
784,0.98,0.00,0.00,0.98,224
803,1.96,0.00,0.00,1.96,226
927,2.94,0.00,-15.68,-12.74,248
930,2.94,0.00,-15.68,-12.74,255
931,1.96,-15.68,-15.68,1.96,258
950,1.96,0.00,0.00,1.96,264
969,2.94,0.00,0.00,2.94,271
990,2.94,0.00,0.00,2.94,278
1009,0.98,0.00,0.00,0.98,290
1028,1.96,-15.68,0.00,17.64,294
1050,1.96,0.00,0.00,1.96,295
1071,1.96,0.00,0.00,1.96,299
1090,2.94,0.00,-15.68,-12.74,302
1114,2.94,0.00,0.00,2.94,308
1133,2.94,-15.68,0.00,18.62,312
1156,0.98,0.00,0.00,0.98,316
1176,3.92,0.00,0.00,3.92,320
1196,1.96,0.00,0.00,1.96,323
1218,1.96,0.00,0.00,1.96,333
1235,1.96,0.00,0.00,1.96,334
1258,3.92,0.00,0.00,3.92,346
1276,0.00,0.00,-15.68,-15.68,350
1300,0.98,0.00,0.00,0.98,357
1319,0.98,0.00,0.00,0.98,360
1344,-12.74,0.00,0.00,-12.74,375
1362,0.98,0.00,0.00,0.98,376
1384,0.98,0.00,0.00,0.98,383
1403,1.96,-15.68,-15.68,1.96,388
1428,1.96,0.00,0.00,1.96,397
1448,1.96,0.00,0.00,1.96,412
1467,2.94,-15.68,0.00,18.62,419
1488,0.98,0.00,0.00,0.98,421
1510,1.96,0.00,0.00,1.96,428
1529,1.96,0.00,-15.68,-13.72,432
1553,2.94,0.00,0.00,2.94,445
1571,1.96,-15.68,0.00,17.64,446
1594,2.94,0.00,0.00,2.94,452
1614,0.98,0.00,-15.68,-14.70,455
1638,1.96,0.00,-15.68,-13.72,461
1660,2.94,0.00,0.00,2.94,465
1680,1.96,0.00,0.00,1.96,468
1702,3.92,0.00,0.00,3.92,478
1723,3.92,0.00,0.00,3.92,488
1742,0.98,0.00,0.00,0.98,497
1761,0.00,0.00,0.00,0.00,500
1781,2.94,0.00,-15.68,-12.74,501
1805,1.96,0.00,0.00,1.96,505
1824,1.96,0.00,0.00,1.96,509
1844,1.96,0.00,-15.68,-13.72,512
1868,1.96,0.00,-15.68,-13.72,520
1893,2.94,0.00,-15.68,-12.74,536
1913,0.98,0.00,0.00,0.98,537
1934,2.94,0.00,0.00,2.94,545
2057,2.94,0.00,0.00,2.94,567
2059,1.96,-15.68,0.00,17.64,572
2062,3.92,0.00,0.00,3.92,579
2075,0.98,0.00,-15.68,-14.70,586
2099,2.94,0.00,0.00,2.94,600
2118,2.94,-15.68,0.00,18.62,604
2142,0.98,0.00,-15.68,-14.70,612
2164,0.00,0.00,-15.68,-15.68,619
2187,1.96,0.00,0.00,1.96,626
2206,2.94,-15.68,0.00,18.62,630
2229,2.94,0.00,0.00,2.94,637
2249,1.96,0.00,0.00,1.96,643
2269,2.94,0.00,0.00,2.94,647
2290,1.96,0.00,0.00,1.96,657
2310,2.94,0.00,0.00,2.94,664
2331,1.96,0.00,0.00,1.96,677
2350,0.00,0.00,0.00,0.00,679
2369,1.96,0.00,0.00,1.96,681
2391,2.94,0.00,0.00,2.94,688
2410,3.92,0.00,0.00,3.92,692
2429,2.94,0.00,0.00,2.94,696
2450,1.96,0.00,-15.68,-13.72,699
2472,1.96,0.00,-15.68,-13.72,702
2499,3.92,0.00,0.00,3.92,716
2519,0.98,0.00,0.00,0.98,728
2636,2.94,0.00,0.00,2.94,733
2640,1.96,0.00,-15.68,-13.72,743
2641,1.96,-15.68,0.00,17.64,746
2659,0.98,-15.68,0.00,16.66,753
2682,0.98,0.00,-15.68,-14.70,766
2703,0.00,0.00,0.00,0.00,771
2724,2.94,0.00,0.00,2.94,780
2743,0.98,0.00,0.00,0.98,784
2763,0.98,-15.68,0.00,16.66,787
2787,0.98,0.00,0.00,0.98,794
2806,1.96,0.00,0.00,1.96,801
2826,2.94,0.00,0.00,2.94,807
2847,3.92,0.00,0.00,3.92,817
2867,0.98,0.00,0.00,0.98,819
2886,2.94,0.00,0.00,2.94,821
2908,2.94,0.00,0.00,2.94,828
2927,3.92,0.00,0.00,3.92,832
2947,0.98,0.00,-15.68,-14.70,836
2969,1.96,0.00,0.00,1.96,837
2992,1.96,0.00,0.00,1.96,849
3011,1.96,0.00,-15.68,-13.72,859
3033,0.98,0.00,-15.68,-14.70,862
3056,0.98,0.00,0.00,0.98,869
3077,2.94,0.00,-15.68,-12.74,874
3200,0.98,0.00,-15.68,-14.70,879
3204,2.94,0.00,0.00,2.94,889
3206,2.94,0.00,0.00,2.94,895
3218,2.94,0.00,0.00,2.94,897
3239,2.94,0.00,0.00,2.94,904
3260,1.96,0.00,0.00,1.96,908
3279,0.98,0.00,0.00,0.98,912
3299,2.94,0.00,-15.68,-12.74,915
3323,0.98,0.00,0.00,0.98,922
3343,0.98,0.00,-15.68,-14.70,927
3467,1.96,0.00,-15.68,-13.72,944
3469,0.98,0.00,0.00,0.98,945
3471,0.98,-15.68,0.00,16.66,951
3490,1.96,-15.68,0.00,17.64,966
3511,2.94,0.00,0.00,2.94,973
3531,2.94,0.00,0.00,2.94,977
3553,3.92,0.00,0.00,3.92,988
3570,1.96,0.00,0.00,1.96,991
3594,0.00,0.00,0.00,0.00,1005
3613,0.00,0.00,-15.68,-15.68,1012
3636,2.94,0.00,0.00,2.94,1016
3659,1.96,-15.68,0.00,17.64,1032
3679,1.96,-15.68,0.00,17.64,1034
3704,1.96,0.00,0.00,1.96,1044
3726,3.92,-15.68,-15.68,3.92,1058
3746,1.96,0.00,0.00,1.96,1062
3770,1.96,0.00,0.00,1.96,1075
3789,0.98,0.00,0.00,0.98,1082
3809,0.98,0.00,0.00,0.98,1083
3830,0.00,0.00,0.00,0.00,1085
3852,0.98,0.00,-15.68,-14.70,1093
3875,2.94,0.00,0.00,2.94,1099
3896,1.96,0.00,-15.68,-13.72,1106
3921,2.94,0.00,0.00,2.94,1119
3940,2.94,0.00,0.00,2.94,1123
3962,3.92,0.00,0.00,3.92,1134
3982,1.96,-15.68,-15.68,1.96,1139
4005,3.92,0.00,0.00,3.92,1146
4026,1.96,0.00,0.00,1.96,1147
4046,2.94,0.00,0.00,2.94,1149
4068,2.94,0.00,0.00,2.94,1153
4090,2.94,0.00,0.00,2.94,1163
4111,0.00,0.00,0.00,0.00,1170
4130,2.94,0.00,0.00,2.94,1174
4152,0.98,0.00,0.00,0.98,1179
4172,0.98,0.00,-15.68,-14.70,1186
4196,0.98,0.00,-15.68,-14.70,1193
4218,3.92,0.00,0.00,3.92,1196
4243,2.94,0.00,0.00,2.94,1213
4261,2.94,0.00,0.00,2.94,1219
4283,2.94,0.00,0.00,2.94,1226
4302,2.94,0.00,-15.68,-12.74,1228
4327,0.98,0.00,0.00,0.98,1235
4347,2.94,0.00,0.00,2.94,1239
4368,0.98,0.00,0.00,0.98,1244
4389,4.90,0.00,0.00,4.90,1251
4409,0.98,0.00,-15.68,-14.70,1254
4433,1.96,0.00,0.00,1.96,1256
4455,1.96,0.00,0.00,1.96,1265
4475,2.94,0.00,0.00,2.94,1268
4498,0.98,0.00,0.00,0.98,1280
4516,1.96,0.00,-15.68,-13.72,1284
4540,1.96,0.00,0.00,1.96,1288
4562,2.94,0.00,0.00,2.94,1298
4582,2.94,0.00,0.00,2.94,1299
4602,2.94,-15.68,-15.68,2.94,1300
4629,1.96,0.00,0.00,1.96,1312
4648,1.96,0.00,0.00,1.96,1321
4670,1.96,0.00,0.00,1.96,1336
4791,1.96,-15.68,0.00,17.64,1351
4793,2.94,0.00,0.00,2.94,1354
4794,1.96,0.00,0.00,1.96,1356
4811,2.94,0.00,0.00,2.94,1360
4835,1.96,0.00,0.00,1.96,1376
4853,2.94,0.00,0.00,2.94,1382
4874,0.98,0.00,0.00,0.98,1383
4894,1.96,0.00,-15.68,-13.72,1385
4920,1.96,-15.68,0.00,17.64,1394
4940,1.96,0.00,0.00,1.96,1396
4962,1.96,0.00,-15.68,-13.72,1400
4985,2.94,0.00,0.00,2.94,1404
5007,3.92,0.00,0.00,3.92,1409
5028,1.96,0.00,0.00,1.96,1416
5048,0.98,0.00,0.00,0.98,1419
5071,0.00,0.00,0.00,0.00,1430
5090,2.94,0.00,0.00,2.94,1436
5111,2.94,0.00,0.00,2.94,1443
5131,1.96,0.00,-15.68,-13.72,1445
